From	To	Species	Gene Name
Q9UHQ9	ENSG00000159348	Homo sapiens	cytochrome b5 reductase 1(CYB5R1)
P29762	ENSG00000166426	Homo sapiens	cellular retinoic acid binding protein 1(CRABP1)
Q9UI26	ENSG00000086200	Homo sapiens	importin 11(IPO11)
Q9Y2Z9	ENSG00000119723	Homo sapiens	coenzyme Q6, monooxygenase(COQ6)
P54760	ENSG00000196411	Homo sapiens	EPH receptor B4(EPHB4)
Q9BR61	ENSG00000230124	Homo sapiens	acyl-CoA binding domain containing 6(ACBD6)
P16455	ENSG00000170430	Homo sapiens	O-6-methylguanine-DNA methyltransferase(MGMT)
P15121	ENSG00000085662	Homo sapiens	aldo-keto reductase family 1 member B(AKR1B1)
Q9HBE1	ENSG00000100105	Homo sapiens	POZ/BTB and AT hook containing zinc finger 1(PATZ1)
Q99697	ENSG00000164093	Homo sapiens	paired like homeodomain 2(PITX2)
Q9H1C7	ENSG00000120306	Homo sapiens	cysteine rich transmembrane module containing 1(CYSTM1)
Q9UI30	ENSG00000173113	Homo sapiens	tRNA methyltransferase activator subunit 11-2(TRMT112)
Q9UHR6	ENSG00000174276	Homo sapiens	zinc finger HIT-type containing 2(ZNHIT2)
Q9UI36	ENSG00000276644	Homo sapiens	dachshund family transcription factor 1(DACH1)
Q9UHR5	ENSG00000161526	Homo sapiens	SAP30 binding protein(SAP30BP)
Q9UHR4	ENSG00000006453	Homo sapiens	BAR/IMD domain containing adaptor protein 2 like 1(BAIAP2L1)
Q9H1C4	ENSG00000110057	Homo sapiens	unc-93 homolog B1, TLR signaling regulator(UNC93B1)
Q8WUA2	ENSG00000131013	Homo sapiens	peptidylprolyl isomerase like 4(PPIL4)
Q9Y2S7	ENSG00000004142	Homo sapiens	DNA polymerase delta interacting protein 2(POLDIP2)
Q9Y2S6	ENSG00000232112	Homo sapiens	translation machinery associated 7 homolog(TMA7)
Q9UHJ6	ENSG00000262304	Homo sapiens	sedoheptulokinase(SHPK)
Q9UHJ6	ENSG00000197417	Homo sapiens	sedoheptulokinase(SHPK)
Q9Y2S2	ENSG00000165475	Homo sapiens	crystallin lambda 1(CRYL1)
P28482	ENSG00000100030	Homo sapiens	mitogen-activated protein kinase 1(MAPK1)
Q9H1K1	ENSG00000136003	Homo sapiens	iron-sulfur cluster assembly enzyme(ISCU)
Q9H1K0	ENSG00000131381	Homo sapiens	rabenosyn, RAB effector(RBSN)
Q70HW3	ENSG00000282739	Homo sapiens	solute carrier family 25 member 26(SLC25A26)
Q70HW3	ENSG00000144741	Homo sapiens	solute carrier family 25 member 26(SLC25A26)
Q8WUA7	ENSG00000054611	Homo sapiens	TBC1 domain family member 22A(TBC1D22A)
Q8WUA4	ENSG00000115207	Homo sapiens	general transcription factor IIIC subunit 2(GTF3C2)
Q9HBL7	ENSG00000107020	Homo sapiens	plasminogen receptor with a C-terminal lysine(PLGRKT)
P40123	ENSG00000112186	Homo sapiens	cyclase associated actin cytoskeleton regulatory protein 2(CAP2)
P40121	ENSG00000042493	Homo sapiens	capping actin protein, gelsolin like(CAPG)
Q5VT52	ENSG00000163125	Homo sapiens	regulation of nuclear pre-mRNA domain containing 2(RPRD2)
P15170	ENSG00000103342	Homo sapiens	G1 to S phase transition 1(GSPT1)
Q9Y2T2	ENSG00000185009	Homo sapiens	adaptor related protein complex 3 subunit mu 1(AP3M1)
P42785	ENSG00000137509	Homo sapiens	prolylcarboxypeptidase(PRCP)
Q9NTX5	ENSG00000093144	Homo sapiens	ethylmalonyl-CoA decarboxylase 1(ECHDC1)
Q06210	ENSG00000198380	Homo sapiens	glutamine--fructose-6-phosphate transaminase 1(GFPT1)
P30793	ENSG00000131979	Homo sapiens	GTP cyclohydrolase 1(GCH1)
Q9HBK9	ENSG00000214435	Homo sapiens	arsenite methyltransferase(AS3MT)
P41440	ENSG00000173638	Homo sapiens	solute carrier family 19 member 1(SLC19A1)
P54709	ENSG00000069849	Homo sapiens	ATPase Na+/K+ transporting subunit beta 3(ATP1B3)
P42771	ENSG00000147889	Homo sapiens	cyclin dependent kinase inhibitor 2A(CDKN2A)
P42773	ENSG00000123080	Homo sapiens	cyclin dependent kinase inhibitor 2C(CDKN2C)
Q9H1I8	ENSG00000100325	Homo sapiens	activating signal cointegrator 1 complex subunit 2(ASCC2)
Q9Y2U8	ENSG00000174106	Homo sapiens	LEM domain containing 3(LEMD3)
Q9Y2U5	ENSG00000169967	Homo sapiens	mitogen-activated protein kinase kinase kinase 2(MAP3K2)
Q06203	ENSG00000128059	Homo sapiens	phosphoribosyl pyrophosphate amidotransferase(PPAT)
Q5VT25	ENSG00000143776	Homo sapiens	CDC42 binding protein kinase alpha(CDC42BPA)
P42765	ENSG00000167315	Homo sapiens	acetyl-CoA acyltransferase 2(ACAA2)
Q86UA1	ENSG00000185246	Homo sapiens	pre-mRNA processing factor 39(PRPF39)
P42766	ENSG00000136942	Homo sapiens	ribosomal protein L35(RPL35)
P15153	ENSG00000136238	Homo sapiens	Rac family small GTPase 1(RAC1)
P15153	ENSG00000128340	Homo sapiens	Rac family small GTPase 2(RAC2)
P15153	ENSG00000169750	Homo sapiens	Rac family small GTPase 3(RAC3)
P15151	ENSG00000073008	Homo sapiens	PVR cell adhesion molecule(PVR)
Q8N9B5	ENSG00000152409	Homo sapiens	junction mediating and regulatory protein, p53 cofactor(JMY)
Q9Y2V2	ENSG00000153048	Homo sapiens	calcium regulated heat stable protein 1(CARHSP1)
Q9Y371	ENSG00000097033	Homo sapiens	SH3 domain containing GRB2 like, endophilin B1(SH3GLB1)
Q86UA6	ENSG00000129197	Homo sapiens	RPA interacting protein(RPAIN)
Q9H1H9	ENSG00000137177	Homo sapiens	kinesin family member 13A(KIF13A)
P27144	ENSG00000162433	Homo sapiens	adenylate kinase 4(AK4)
Q9Y376	ENSG00000135932	Homo sapiens	calcium binding protein 39(CAB39)
Q9Y375	ENSG00000137806	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 1(NDUFAF1)
Q9Y2V7	ENSG00000133103	Homo sapiens	component of oligomeric golgi complex 6(COG6)
P54727	ENSG00000119318	Homo sapiens	RAD23 homolog B, nucleotide excision repair protein(RAD23B)
Q9NTZ6	ENSG00000244462	Homo sapiens	RNA binding motif protein 12(RBM12)
P54725	ENSG00000179262	Homo sapiens	RAD23 homolog A, nucleotide excision repair protein(RAD23A)
P00918	ENSG00000104267	Homo sapiens	carbonic anhydrase 2(CA2)
Q9HBI1	ENSG00000188677	Homo sapiens	parvin beta(PARVB)
Q9Y383	ENSG00000269955	Homo sapiens	FMC1-LUC7L2 readthrough(FMC1-LUC7L2)
Q9Y383	ENSG00000146963	Homo sapiens	LUC7 like 2, pre-mRNA splicing factor(LUC7L2)
Q9Y2W2	ENSG00000084463	Homo sapiens	WW domain binding protein 11(WBP11)
Q9Y385	ENSG00000198833	Homo sapiens	ubiquitin conjugating enzyme E2 J1(UBE2J1)
Q9UHN1	ENSG00000256525	Homo sapiens	DNA polymerase gamma 2, accessory subunit(POLG2)
Q9Y2W1	ENSG00000054118	Homo sapiens	thyroid hormone receptor associated protein 3(THRAP3)
Q86TU7	ENSG00000183576	Homo sapiens	SET domain containing 3, actin N3(tau)-histidine methyltransferase(SETD3)
Q9Y305	ENSG00000123130	Homo sapiens	acyl-CoA thioesterase 9(ACOT9)
Q9BQP7	ENSG00000125871	Homo sapiens	mitochondrial genome maintenance exonuclease 1(MGME1)
Q9UHF7	ENSG00000104447	Homo sapiens	transcriptional repressor GATA binding 1(TRPS1)
Q8WTS6	ENSG00000145391	Homo sapiens	SET domain containing 7, histone lysine methyltransferase(SETD7)
Q99643	ENSG00000143252	Homo sapiens	succinate dehydrogenase complex subunit C(SDHC)
P17706	ENSG00000175354	Homo sapiens	protein tyrosine phosphatase non-receptor type 2(PTPN2)
Q86U70	ENSG00000198728	Homo sapiens	LIM domain binding 1(LDB1)
Q5JPE7	ENSG00000185164	Homo sapiens	NODAL modulator 2(NOMO2)
Q5JPE7	ENSG00000278087	Homo sapiens	NODAL modulator 2(NOMO2)
Q5JPE7	ENSG00000274779	Homo sapiens	NODAL modulator 2(NOMO2)
Q5JPE7	ENSG00000185164	Homo sapiens	nodal modulator 3-like(LOC102723728)
Q8N983	ENSG00000055950	Homo sapiens	mitochondrial ribosomal protein L43(MRPL43)
Q9Y314	ENSG00000142546	Homo sapiens	nitric oxide synthase interacting protein(NOSIP)
Q9Y316	ENSG00000162959	Homo sapiens	mediator of cell motility 1(MEMO1)
Q9Y315	ENSG00000023697	Homo sapiens	deoxyribose-phosphate aldolase(DERA)
Q9UHG3	ENSG00000116005	Homo sapiens	prenylcysteine oxidase 1(PCYOX1)
Q69YN2	ENSG00000095485	Homo sapiens	CWF19 like cell cycle control factor 1(CWF19L1)
P04406	ENSG00000111640	Homo sapiens	glyceraldehyde-3-phosphate dehydrogenase(GAPDH)
Q9Y312	ENSG00000131043	Homo sapiens	AAR2 splicing factor(AAR2)
Q9UHG0	ENSG00000146038	Homo sapiens	doublecortin domain containing 2(DCDC2)
Q69YN4	ENSG00000164944	Homo sapiens	vir like m6A methyltransferase associated(VIRMA)
Q9Y2P8	ENSG00000120158	Homo sapiens	RNA terminal phosphate cyclase like 1(RCL1)
Q99633	ENSG00000165630	Homo sapiens	pre-mRNA processing factor 18(PRPF18)
Q99638	ENSG00000172613	Homo sapiens	RAD9 checkpoint clamp component A(RAD9A)
Q9Y2Q5	ENSG00000116586	Homo sapiens	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2(LAMTOR2)
Q9Y324	ENSG00000119616	Homo sapiens	FCF1 rRNA-processing protein(FCF1)
Q86U44	ENSG00000165819	Homo sapiens	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit(METTL3)
C9JLW8	ENSG00000225663	Homo sapiens	MAPK regulated corepressor interacting protein 1(MCRIP1)
C9JLW8	ENSG00000288213	Homo sapiens	MAPK regulated corepressor interacting protein 1(MCRIP1)
Q86U42	ENSG00000100836	Homo sapiens	poly(A) binding protein nuclear 1(PABPN1)
Q9Y320	ENSG00000213593	Homo sapiens	thioredoxin related transmembrane protein 2(TMX2)
Q9Y2Q3	ENSG00000197448	Homo sapiens	glutathione S-transferase kappa 1(GSTK1)
Q86TS9	ENSG00000172590	Homo sapiens	mitochondrial ribosomal protein L52(MRPL52)
Q9Y2Q9	ENSG00000147586	Homo sapiens	mitochondrial ribosomal protein S28(MRPS28)
Q99623	ENSG00000215021	Homo sapiens	prohibitin 2(PHB2)
Q7L8W6	ENSG00000134146	Homo sapiens	diphthamine biosynthesis 6(DPH6)
Q99622	ENSG00000111678	Homo sapiens	chromosome 12 open reading frame 57(C12orf57)
Q9Y2R0	ENSG00000183978	Homo sapiens	cytochrome c oxidase assembly factor 3(COA3)
Q99627	ENSG00000198612	Homo sapiens	COP9 signalosome subunit 8(COPS8)
Q99626	ENSG00000165556	Homo sapiens	caudal type homeobox 2(CDX2)
Q9Y2R5	ENSG00000239789	Homo sapiens	mitochondrial ribosomal protein S17(MRPS17)
Q8N954	ENSG00000152133	Homo sapiens	G-patch domain containing 11(GPATCH11)
Q69YL0	ENSG00000270170	Homo sapiens	NCBP2 antisense 2 (head to head)(NCBP2AS2)
Q9Y2R4	ENSG00000278053	Homo sapiens	DExD-box helicase 52(DDX52)
Q9Y2R4	ENSG00000277594	Homo sapiens	DExD-box helicase 52(DDX52)
Q9Y333	ENSG00000231502	Homo sapiens	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)
Q9Y333	ENSG00000225998	Homo sapiens	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)
Q9Y333	ENSG00000172850	Homo sapiens	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)
Q9Y333	ENSG00000236826	Homo sapiens	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)
Q9Y333	ENSG00000224979	Homo sapiens	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)
Q9Y333	ENSG00000204392	Homo sapiens	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM2)
Q9UHI8	ENSG00000154734	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 1(ADAMTS1)
Q9UHI6	ENSG00000064703	Homo sapiens	DEAD-box helicase 20(DDX20)
Q86U38	ENSG00000196943	Homo sapiens	NOP9 nucleolar protein(NOP9)
Q86U38	ENSG00000285326	Homo sapiens	NOP9 nucleolar protein(NOP9)
Q9Y2R9	ENSG00000125445	Homo sapiens	mitochondrial ribosomal protein S7(MRPS7)
Q99611	ENSG00000179918	Homo sapiens	selenophosphate synthetase 2(SEPHS2)
Q56VL3	ENSG00000145247	Homo sapiens	OCIA domain containing 2(OCIAD2)
Q99618	ENSG00000111665	Homo sapiens	cell division cycle associated 3(CDCA3)
Q99614	ENSG00000113312	Homo sapiens	tetratricopeptide repeat domain 1(TTC1)
Q502W6	ENSG00000168658	Homo sapiens	von Willebrand factor A domain containing 3B(VWA3B)
Q99615	ENSG00000168259	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C7(DNAJC7)
Q9BQT8	ENSG00000183032	Homo sapiens	solute carrier family 25 member 21(SLC25A21)
P04439	ENSG00000223980	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
P04439	ENSG00000224320	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
P04439	ENSG00000231834	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
P04439	ENSG00000206505	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
P04439	ENSG00000229215	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
P04439	ENSG00000206503	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
P04439	ENSG00000227715	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
P04439	ENSG00000235657	Homo sapiens	major histocompatibility complex, class I, A(HLA-A)
Q9Y2K7	ENSG00000173120	Homo sapiens	lysine demethylase 2A(KDM2A)
Q69YQ0	ENSG00000100014	Homo sapiens	sperm antigen with calponin homology and coiled-coil domains 1 like(SPECC1L)
Q8WU90	ENSG00000065548	Homo sapiens	zinc finger CCCH-type containing 15(ZC3H15)
Q9UHB6	ENSG00000050405	Homo sapiens	LIM domain and actin binding 1(LIMA1)
Q9Y2K2	ENSG00000160584	Homo sapiens	SIK family kinase 3(SIK3)
P16422	ENSG00000119888	Homo sapiens	epithelial cell adhesion molecule(EPCAM)
Q68EM7	ENSG00000288353	Homo sapiens	Rho GTPase activating protein 17(ARHGAP17)
Q68EM7	ENSG00000140750	Homo sapiens	Rho GTPase activating protein 17(ARHGAP17)
Q9UHB9	ENSG00000167881	Homo sapiens	signal recognition particle 68(SRP68)
Q9UHB7	ENSG00000072364	Homo sapiens	ALF transcription elongation factor 4(AFF4)
Q6PL24	ENSG00000100580	Homo sapiens	transmembrane p24 trafficking protein family member 8(TMED8)
P42704	ENSG00000138095	Homo sapiens	leucine rich pentatricopeptide repeat containing(LRPPRC)
Q8WTW3	ENSG00000166685	Homo sapiens	component of oligomeric golgi complex 1(COG1)
Q9H1B7	ENSG00000119669	Homo sapiens	interferon regulatory factor 2 binding protein like(IRF2BPL)
Q9Y2L1	ENSG00000083520	Homo sapiens	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease(DIS3)
Q5VSL9	ENSG00000143093	Homo sapiens	striatin interacting protein 1(STRIP1)
Q9BQS8	ENSG00000163820	Homo sapiens	FYVE and coiled-coil domain autophagy adaptor 1(FYCO1)
Q9UHC7	ENSG00000133606	Homo sapiens	makorin ring finger protein 1(MKRN1)
Q9UHC6	ENSG00000278728	Homo sapiens	contactin associated protein 2(CNTNAP2)
Q9UHC6	ENSG00000174469	Homo sapiens	contactin associated protein 2(CNTNAP2)
Q9Y2L5	ENSG00000153339	Homo sapiens	trafficking protein particle complex subunit 8(TRAPPC8)
Q8WU79	ENSG00000084070	Homo sapiens	small ArfGAP2(SMAP2)
Q8WU76	ENSG00000184178	Homo sapiens	sec1 family domain containing 2(SCFD2)
Q99676	ENSG00000096654	Homo sapiens	zinc finger protein 184(ZNF184)
Q99674	ENSG00000138028	Homo sapiens	cell growth regulator with EF-hand domain 1(CGREF1)
Q9H1A4	ENSG00000153107	Homo sapiens	anaphase promoting complex subunit 1(ANAPC1)
P05783	ENSG00000111057	Homo sapiens	keratin 18(KRT18)
Q86U86	ENSG00000163939	Homo sapiens	polybromo 1(PBRM1)
Q8WTV0	ENSG00000073060	Homo sapiens	scavenger receptor class B member 1(SCARB1)
Q9UHD2	ENSG00000183735	Homo sapiens	TANK binding kinase 1(TBK1)
Q9UHD1	ENSG00000110172	Homo sapiens	cysteine and histidine rich domain containing 1(CHORDC1)
Q9UHD1	ENSG00000285023	Homo sapiens	cysteine and histidine rich domain containing 1(CHORDC1)
Q9UHD8	ENSG00000184640	Homo sapiens	septin 9(SEPTIN9)
Q9UHD8	ENSG00000282302	Homo sapiens	septin 9(SEPTIN9)
Q9NU22	ENSG00000288121	Homo sapiens	midasin AAA ATPase 1(MDN1)
Q9NU22	ENSG00000112159	Homo sapiens	midasin AAA ATPase 1(MDN1)
Q9NU23	ENSG00000083099	Homo sapiens	LYR motif containing 2(LYRM2)
Q8WU68	ENSG00000161265	Homo sapiens	U2 small nuclear RNA auxiliary factor 1 like 4(U2AF1L4)
Q9UHD9	ENSG00000188021	Homo sapiens	ubiquilin 2(UBQLN2)
Q99661	ENSG00000142945	Homo sapiens	kinesin family member 2C(KIF2C)
Q86TX2	ENSG00000184227	Homo sapiens	acyl-CoA thioesterase 1(ACOT1)
Q86U90	ENSG00000196449	Homo sapiens	yrdC N6-threonylcarbamoyltransferase domain containing(YRDC)
Q8N999	ENSG00000133641	Homo sapiens	RNA 5'-phosphate and 3'-OH ligase 1(RLIG1)
P04424	ENSG00000126522	Homo sapiens	argininosuccinate lyase(ASL)
Q9BQQ3	ENSG00000114745	Homo sapiens	golgi reassembly stacking protein 1(GORASP1)
P16403	ENSG00000187837	Homo sapiens	H1.2 linker histone, cluster member(H1-2)
O75396	ENSG00000265808	Homo sapiens	SEC22 homolog B, vesicle trafficking protein(SEC22B)
P16402	ENSG00000124575	Homo sapiens	H1.3 linker histone, cluster member(H1-3)
O75394	ENSG00000243147	Homo sapiens	mitochondrial ribosomal protein L33(MRPL33)
Q8WTT2	ENSG00000173145	Homo sapiens	NOC3 like DNA replication regulator(NOC3L)
Q99653	ENSG00000110172	Homo sapiens	cysteine and histidine rich domain containing 1(CHORDC1)
Q99653	ENSG00000285023	Homo sapiens	cysteine and histidine rich domain containing 1(CHORDC1)
Q99653	ENSG00000187446	Homo sapiens	calcineurin like EF-hand protein 1(CHP1)
Q5JPH6	ENSG00000103356	Homo sapiens	glutamyl-tRNA synthetase 2, mitochondrial(EARS2)
Q6PL18	ENSG00000156802	Homo sapiens	ATPase family AAA domain containing 2(ATAD2)
Q9Y3I0	ENSG00000100220	Homo sapiens	RNA 2',3'-cyclic phosphate and 5'-OH ligase(RTCB)
Q9Y3I1	ENSG00000100225	Homo sapiens	F-box protein 7(FBXO7)
P36871	ENSG00000079739	Homo sapiens	phosphoglucomutase 1(PGM1)
Q9NUM4	ENSG00000106460	Homo sapiens	transmembrane protein 106B(TMEM106B)
Q13480	ENSG00000109458	Homo sapiens	GRB2 associated binding protein 1(GAB1)
Q8WUM4	ENSG00000170248	Homo sapiens	programmed cell death 6 interacting protein(PDCD6IP)
Q13485	ENSG00000141646	Homo sapiens	SMAD family member 4(SMAD4)
Q8WUM0	ENSG00000069248	Homo sapiens	nucleoporin 133(NUP133)
Q9HC98	ENSG00000119408	Homo sapiens	NIMA related kinase 6(NEK6)
Q13489	ENSG00000023445	Homo sapiens	baculoviral IAP repeat containing 3(BIRC3)
P35527	ENSG00000171403	Homo sapiens	keratin 9(KRT9)
Q01484	ENSG00000145362	Homo sapiens	ankyrin 2(ANK2)
O75496	ENSG00000112312	Homo sapiens	geminin DNA replication inhibitor(GMNN)
O75494	ENSG00000188529	Homo sapiens	serine and arginine rich splicing factor 10(SRSF10)
Q9NUN5	ENSG00000168216	Homo sapiens	LMBR1 domain containing 1(LMBRD1)
Q9H270	ENSG00000280616	Homo sapiens	VPS11 core subunit of CORVET and HOPS complexes(VPS11)
Q9H270	ENSG00000160695	Homo sapiens	VPS11 core subunit of CORVET and HOPS complexes(VPS11)
Q9UIA9	ENSG00000130227	Homo sapiens	exportin 7(XPO7)
Q13492	ENSG00000073921	Homo sapiens	phosphatidylinositol binding clathrin assembly protein(PICALM)
O75489	ENSG00000285387	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S3(NDUFS3)
O75489	ENSG00000213619	Homo sapiens	NADH:ubiquinone oxidoreductase core subunit S3(NDUFS3)
O75487	ENSG00000076716	Homo sapiens	glypican 4(GPC4)
Q9H269	ENSG00000215305	Homo sapiens	VPS16 core subunit of CORVET and HOPS complexes(VPS16)
Q9H267	ENSG00000184056	Homo sapiens	VPS33B late endosome and lysosome associated(VPS33B)
Q01469	ENSG00000164687	Homo sapiens	fatty acid binding protein 5(FABP5)
P23526	ENSG00000101444	Homo sapiens	adenosylhomocysteinase(AHCY)
P23528	ENSG00000172757	Homo sapiens	cofilin 1(CFL1)
Q9NV06	ENSG00000164934	Homo sapiens	DDB1 and CUL4 associated factor 13(DCAF13)
P09234	ENSG00000124562	Homo sapiens	small nuclear ribonucleoprotein polypeptide C(SNRPC)
Q9BRG1	ENSG00000131475	Homo sapiens	vacuolar protein sorting 25 homolog(VPS25)
P60510	ENSG00000149923	Homo sapiens	protein phosphatase 4 catalytic subunit(PPP4C)
Q8WUK0	ENSG00000110536	Homo sapiens	protein tyrosine phosphatase mitochondrial 1(PTPMT1)
Q8WUK0	ENSG00000285206	Homo sapiens	protein tyrosine phosphatase mitochondrial 1(PTPMT1)
Q8N9N2	ENSG00000138303	Homo sapiens	activating signal cointegrator 1 complex subunit 1(ASCC1)
Q8N9N7	ENSG00000180979	Homo sapiens	leucine rich repeat containing 57(LRRC57)
Q8N9N7	ENSG00000285942	Homo sapiens	leucine rich repeat containing 57(LRRC57)
O75477	ENSG00000107566	Homo sapiens	ER lipid raft associated 1(ERLIN1)
Q86UL3	ENSG00000158669	Homo sapiens	glycerol-3-phosphate acyltransferase 4(GPAT4)
O75475	ENSG00000164985	Homo sapiens	PC4 and SRSF1 interacting protein 1(PSIP1)
P12882	ENSG00000109061	Homo sapiens	myosin heavy chain 1(MYH1)
Q9Y3L3	ENSG00000100092	Homo sapiens	SH3 domain binding protein 1(SH3BP1)
Q8N9N8	ENSG00000175376	Homo sapiens	eukaryotic translation initiation factor 1A domain containing(EIF1AD)
Q9Y3L5	ENSG00000123728	Homo sapiens	RAP2C, member of RAS oncogene family(RAP2C)
Q02790	ENSG00000004478	Homo sapiens	FKBP prolyl isomerase 4(FKBP4)
P12883	ENSG00000092054	Homo sapiens	myosin heavy chain 7(MYH7)
Q9NUP1	ENSG00000186222	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 4(BLOC1S4)
Q9BRF8	ENSG00000103381	Homo sapiens	calcineurin like phosphoesterase domain containing 1(CPPED1)
Q01459	ENSG00000117151	Homo sapiens	chitobiase(CTBS)
Q9UIC8	ENSG00000205629	Homo sapiens	leucine carboxyl methyltransferase 1(LCMT1)
Q9NUP7	ENSG00000122435	Homo sapiens	tRNA methyltransferase 13 homolog(TRMT13)
Q9NUP9	ENSG00000148943	Homo sapiens	lin-7 homolog C, crumbs cell polarity complex component(LIN7C)
P60520	ENSG00000034713	Homo sapiens	GABA type A receptor associated protein like 2(GABARAPL2)
Q9HBU6	ENSG00000139163	Homo sapiens	ethanolamine kinase 1(ETNK1)
Q9Y3E0	ENSG00000111711	Homo sapiens	golgi transport 1B(GOLT1B)
Q9Y3E2	ENSG00000178096	Homo sapiens	bolA family member 1(BOLA1)
Q9Y3E1	ENSG00000166503	Homo sapiens	HDGF like 3(HDGFL3)
O75461	ENSG00000169016	Homo sapiens	E2F transcription factor 6(E2F6)
Q86US8	ENSG00000070366	Homo sapiens	SMG6 nonsense mediated mRNA decay factor(SMG6)
Q86V48	ENSG00000169641	Homo sapiens	leucine zipper protein 1(LUZP1)
P35579	ENSG00000100345	Homo sapiens	myosin heavy chain 9(MYH9)
Q8WV22	ENSG00000169189	Homo sapiens	NSE1 homolog, SMC5-SMC6 complex component(NSMCE1)
P35580	ENSG00000133026	Homo sapiens	myosin heavy chain 10(MYH10)
Q9Y3E7	ENSG00000115561	Homo sapiens	charged multivesicular body protein 3(CHMP3)
Q99720	ENSG00000147955	Homo sapiens	sigma non-opioid intracellular receptor 1(SIGMAR1)
Q9Y3E5	ENSG00000141378	Homo sapiens	peptidyl-tRNA hydrolase 2(PTRH2)
P23588	ENSG00000063046	Homo sapiens	eukaryotic translation initiation factor 4B(EIF4B)
Q5VTE6	ENSG00000174606	Homo sapiens	angel homolog 2(ANGEL2)
